Tangra v3.6.0.17
Measurments of 1 objects
C:\Users\joelhcch\Documents\2022A\Clases\LAB_Avanzado_UABC\ReducirDatos\Fotos 2019-06-19 Pruebas Finales\Prueba1 1.6mm2.18m
Asteroidal Video (FITS.16::SEQ), Time: Timestamp Saving During Recording


Reversed Gamma, Colour, Measured Band, Integration, Digital Filter, Signal Method, Background Method, Instrumental Delay Corrections, Camera, AAV Integration, First Frame, Last Frame, Reversed Camera Response, Video File Format
1.00,no,Red,no,NoFilter,AperturePhotometry,AverageBackground,Not Required,,,1,953,,FITS

Object, Type, Aperture, Tolerance, FWHM, Measured, StartingX, StartingY, Fixed
1,OccultedStar,15.00,2.00,NaN,yes,41.0,32.0,no


FrameNo,Time (JD),SignalMinusBackground (1)
332,2458654.30168193,6178400
333,2458654.30168215,6303100
334,2458654.30168276,6285900
335,2458654.30168335,6342100
336,2458654.30168393,6435300
337,2458654.3016849,6466800
338,2458654.30168513,6453500
339,2458654.30168571,6600200
340,2458654.30168634,6655900
341,2458654.30168692,6732900
342,2458654.30168803,6904800
343,2458654.3016881,7071300
344,2458654.3016887,7218800
345,2458654.3016893,7520200
346,2458654.30168988,7626500
347,2458654.30169083,7721900
348,2458654.30169108,7889800
349,2458654.30169166,7903200
350,2458654.30169226,7762000
351,2458654.30169286,7756600
352,2458654.30169373,7773000
353,2458654.30169404,7634600
354,2458654.30169465,7529500
355,2458654.30169522,7325500
356,2458654.30169582,7073700
357,2458654.30169678,6971500
358,2458654.30169703,6837600
359,2458654.30169761,6625300
360,2458654.30169821,6571400
361,2458654.30169879,6516600
362,2458654.30169962,6437400
363,2458654.30169999,6357300
364,2458654.30170057,6294700
365,2458654.30170117,6167000
366,2458654.30170177,6103700
367,2458654.30170273,6003400
368,2458654.30170297,5811600
369,2458654.30170355,5667000
370,2458654.30170414,5437000
371,2458654.30170475,5233500
372,2458654.3017057,4902500
373,2458654.30170593,4657700
374,2458654.30170662,4463200
375,2458654.30170712,4077800
376,2458654.30170771,3774100
377,2458654.30170868,3616800
378,2458654.30170891,3380500
379,2458654.30170949,3229200
380,2458654.30171009,3085000
381,2458654.3017107,2953200
382,2458654.30171152,2875200
383,2458654.30171188,2881100
384,2458654.30171248,2838900
385,2458654.30171306,2864900
386,2458654.30171366,2862500
387,2458654.30171462,2898000
388,2458654.30171485,2865400
389,2458654.30171543,2839400
390,2458654.30171604,2797000
391,2458654.30171663,2707100
392,2458654.3017176,2634900
393,2458654.30171783,2501500
394,2458654.30171841,2360700
395,2458654.301719,2185500
396,2458654.3017196,2030100
397,2458654.30172038,1782800
398,2458654.3017208,1589100
399,2458654.30172138,1372600
400,2458654.30172198,1169800
401,2458654.30172258,1099900
402,2458654.30172345,922950
403,2458654.30172375,802210
404,2458654.30172435,679630
405,2458654.30172494,606030
406,2458654.30172556,560320
407,2458654.30172659,532440
408,2458654.30172673,521800
409,2458654.30172733,514960
410,2458654.30172793,546680
411,2458654.30172851,582850
412,2458654.30172939,640970
413,2458654.30172971,688730
414,2458654.30173029,766730
415,2458654.30173089,807300
416,2458654.30173149,855060
417,2458654.30173244,877610
418,2458654.30173268,891350
419,2458654.30173328,889740
420,2458654.30173388,874280
421,2458654.30173447,834750
422,2458654.30173534,796430
423,2458654.30173566,731580
424,2458654.30173624,676210
425,2458654.30173684,601700
426,2458654.30173743,574960
427,2458654.30173847,538460
428,2458654.30173863,520910
429,2458654.30173921,541470
430,2458654.30173981,595900
